交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
170,多头出场,2023-02-02 16:02,✅移动止盈,1940.82,1,1931.14,9.68,0.50,28.64,1.48,-10.51,-0.54,111.04,1.11
170,多头进场,2023-02-01 17:02,①挂多,1931.14,1,1931.14,9.68,0.50,28.64,1.48,-10.51,-0.54,111.04,1.11
171,空头出场,2023-02-07 19:02,✅移动止盈,1881.5,1,1900.87,19.37,1.02,39.43,2.07,0,0.00,130.41,1.30
171,空头进场,2023-02-03 15:02,①挂空,1900.87,1,1900.87,19.37,1.02,39.43,2.07,0,0.00,130.41,1.30
172,多头出场,2023-02-10 06:02,❌止损,1854.11,1,1884.32,-30.21,-1.60,5.96,0.32,-30.21,-1.60,100.2,1.00
172,多头进场,2023-02-08 09:02,①挂多,1884.32,1,1884.32,-30.21,-1.60,5.96,0.32,-30.21,-1.60,100.2,1.00
173,空头出场,2023-02-13 19:02,✅移动止盈,1850.71,1,1852.73,2.02,0.11,2.02,0.11,0,0.00,102.22,1.02
173,空头进场,2023-02-13 18:02,①挂空,1852.73,1,1852.73,2.02,0.11,2.02,0.11,0,0.00,102.22,1.02
174,多头出场,2023-02-16 05:02,✅移动止盈,1839.63,1,1837.74,1.89,0.10,4.86,0.26,-7.16,-0.39,104.11,1.04
174,多头进场,2023-02-15 16:02,①挂多,1837.74,1,1837.74,1.89,0.10,4.86,0.26,-7.16,-0.39,104.11,1.04
175,多头出场,2023-02-17 10:02,❌止损,1821.75,1,1840.45,-18.7,-1.02,4.87,0.26,-18.7,-1.02,85.41,0.85
175,多头进场,2023-02-16 18:02,①挂多,1840.45,1,1840.45,-18.7,-1.02,4.87,0.26,-18.7,-1.02,85.41,0.85
176,空头出场,2023-02-20 20:02,✅移动止盈,1841.29,1,1841.22,-0.07,0.00,0.44,0.02,-0.07,0.00,85.34,0.85
176,空头进场,2023-02-20 19:02,①挂空,1841.22,1,1841.22,-0.07,0.00,0.44,0.02,-0.07,0.00,85.34,0.85
177,空头出场,2023-02-21 15:02,✅移动止盈,1833.21,1,1831.1,-2.11,-0.12,0.87,0.05,-2.11,-0.12,83.23,0.83
177,空头进场,2023-02-21 14:02,①挂空,1831.1,1,1831.1,-2.11,-0.12,0.87,0.05,-2.11,-0.12,83.23,0.83
178,多头出场,2023-02-22 20:02,❌止损,1829.37,1,1839.8,-10.43,-0.57,6.21,0.34,-10.43,-0.57,72.8,0.73
178,多头进场,2023-02-21 16:02,①挂多,1839.8,1,1839.8,-10.43,-0.57,6.21,0.34,-10.43,-0.57,72.8,0.73
179,空头出场,2023-02-24 14:02,✅移动止盈,1818.19,1,1817.46,-0.73,-0.04,0.08,0.00,-0.8,-0.04,72.07,0.72
179,空头进场,2023-02-24 13:02,①挂空,1817.46,1,1817.46,-0.73,-0.04,0.08,0.00,-0.8,-0.04,72.07,0.72
180,多头出场,2023-02-27 17:02,✅移动止盈,1815.99,1,1813.75,2.24,0.12,6.3,0.35,0,0.00,74.31,0.74
180,多头进场,2023-02-27 15:02,①挂多,1813.75,1,1813.75,2.24,0.12,6.3,0.35,0,0.00,74.31,0.74
181,多头出场,2023-02-28 09:02,❌止损,1809.25,1,1820.05,-10.8,-0.59,0.12,0.01,-10.8,-0.59,63.51,0.64
181,多头进场,2023-02-27 20:02,①挂多,1820.05,1,1820.05,-10.8,-0.59,0.12,0.01,-10.8,-0.59,63.51,0.64
182,多头出场,2023-03-06 20:02,✅移动止盈,1846.44,1,1831.16,15.28,0.83,27.08,1.48,-1.28,-0.07,78.79,0.79
182,多头进场,2023-03-01 05:02,①挂多,1831.16,1,1831.16,15.28,0.83,27.08,1.48,-1.28,-0.07,78.79,0.79
183,空头出场,2023-03-07 21:02,✅移动止盈,1815.38,1,1815.73,0.35,0.02,2.8,0.15,0,0.00,79.14,0.79
183,空头进场,2023-03-07 20:02,①挂空,1815.73,1,1815.73,0.35,0.02,2.8,0.15,0,0.00,79.14,0.79
184,多头出场,2023-03-08 18:02,✅移动止盈,1819.08,1,1816.73,2.35,0.13,7.53,0.41,-0.73,-0.04,81.49,0.81
184,多头进场,2023-03-08 16:02,①挂多,1816.73,1,1816.73,2.35,0.13,7.53,0.41,-0.73,-0.04,81.49,0.81
185,多头出场,2023-03-10 16:02,✅移动止盈,1841.56,1,1837.42,4.14,0.23,7.57,0.41,0,0.00,85.63,0.86
185,多头进场,2023-03-10 15:02,①挂多,1837.42,1,1837.42,4.14,0.23,7.57,0.41,0,0.00,85.63,0.86
186,多头出场,2023-03-13 01:02,✅移动止盈,1878.74,1,1867.34,11.4,0.61,27.05,1.45,-0.91,-0.05,97.03,0.97
186,多头进场,2023-03-10 22:02,①挂多,1867.34,1,1867.34,11.4,0.61,27.05,1.45,-0.91,-0.05,97.03,0.97
187,多头出场,2023-03-14 10:02,✅移动止盈,1901.51,1,1894.39,7.12,0.38,20.21,1.07,-0.81,-0.04,104.15,1.04
187,多头进场,2023-03-13 14:02,①挂多,1894.39,1,1894.39,7.12,0.38,20.21,1.07,-0.81,-0.04,104.15,1.04
188,空头出场,2023-03-14 16:02,✅移动止盈,1901.9,1,1900.81,-1.09,-0.06,5.38,0.28,-1.18,-0.06,103.06,1.03
