signal_id,timestamp,symbol,decision,coarse_result,fine_result,coarse_reason,fine_reason,box_score,rsi,atr
39,1730736000.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,48.74671331692829,54.29826970612475,6.47571428571434
40,1730811600.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,81.849105974705,55.5216284987279,5.5149999999999055
41,1730887200.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,100.0,41.13467979295642,11.777857142857167
42,1730962800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,49.53662561889043,8.48214285714289
43,1731038400.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,100.0,73.70578412023704,8.711428571428607
44,1731286800.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,63.71406817887884,45.97168597168577,7.191428571428593
45,1731358800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,"RSI 超卖, 价格接近下边界",100.0,16.313873533774142,9.109285714285695
46,1731434400.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,95.68611714061626,34.652747571407886,8.962857142857144
47,1731510000.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,59.59949988726911,73.16569066482938,5.976428571428642
48,1731585600.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,"RSI 超卖, 价格接近下边界",100.0,20.301542776998005,8.65999999999992
49,1731661200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,88.65277142868968,38.76020295609952,6.237857142857105
50,1731909600.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,71.68839530017706,8.319999999999936
51,1731985200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",92.5999170832358,86.80720843250552,5.365000000000042
52,1732057200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,92.38704792551508,61.005756857433205,7.2985714285713845
53,1732132800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,61.15148127445522,6.87642857142857
54,1732208400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,93.47627358098737,72.62658227848104,6.275000000000026
55,1732284000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,80.05009840758677,7.807857142857139
56,1732532400.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,价格接近下边界,100.0,27.94749403341268,13.085714285714273
57,1732608000.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,45.69826289153342,9.842857142857188
58,1732683600.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,68.87960261767672,57.40498034075992,7.478571428571448
59,1732759200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,价格接近下边界,75.34308285629474,33.514492753623216,6.4235714285713845
60,1732842000.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,95.6984279300096,53.204508856682494,4.781428571428543
